sunday,"3 egg whites + 1 toasted brown bread + 1/2 cup low fat milk (no sugar),1 cup arhar dal + 1 chapatti + 1/2 cup low fat curd + salad,1 cup vegetable soup"
monday,"1 onion stuffed chapatti + 1/2 cup low fat curd,1 cup coconut water,1 cup moong dal/ chicken curry + 1 chapatti + salad,1 cup pomegranate"
tuesday,"2 besan cheela + 1/2 cup low fat curd,1 apple,1 cup masoor dal + 1 chapatti + 1/2 up low fat curd + salad,1 cup carrot peas vegetable"
wednesday,"1 cup vegetable brown bread upma + 1/2 cup low fat milk (no sugar),1 cup musk melon,1 cup rajma curry + 1 chapatti + salad,1 cup vegetable soup"
thursday,"1 cucmber hungcurd sandwich + 1/2 tsp green chutney + 1 orange,1 cup buttermilk,1 cup white chana/ fish curry + 1 chapatti + salad,1 cup cauliflower vegetable + 1 chapatti + salad"
friday,"1 cup vegetable poha + 1 cup low fat curd,1 cup watermelon,1 cup chana dal + 1 chapatti + salad,1 cup sprouts salad"
saturday,"1 cup low fat milk with oats + 3-4 strawberries,1 cup coconut water"
